30	3	20	10	30
30	3	39	20	30
30	3	181	35	30
30	3	20	10	20
30	3	42	20	20
30	3	174	35	20
50	3	390	38	88
50	2.2	390	38	101
100	0.8	145	37	27.41693458
80	0.8	215	37	27.41693458
100	1.6	107	37	27.41693458
80	1.6	194	37	27.41693458
100	2.4	75	37	27.41693458
80	2.4	167	37	27.41693458
100	3.2	78	37	27.41693458
80	3.2	112	37	27.41693458
100	1.7	316	37	27.41693458
25	2	257	38	40
25	4	222	38	26
50	2	262	38	40
50	4	233	38	26
75	2	273	38	40
32	3.8	105.91	55	20
37	1.1	255	37	30
37	1.7	265.5	37	30
37	2.3	268.45	37	30
37	2.7	239.4	37	25
37	3.4	209	37	20
37	4.2	140.4	37	20
37	5.6	85	37	15
25	2	179.9757	35	25
25	3	162.208	35	25
50	2	144.716	35	25
52	3	131.0125	35	25
45	2.537345506	214	49	20
44	2.537345506	217	49	20
59	2.537345506	351	50	20
40	2.5	173.9025	37	20
40	3	117.7936	37	20
40	2	246.318	37	20
40	2.5	124.3964	37	20
40	3	78.1138	37	20
40	2	177.8042	37	20
20	2.4	251	37	50
33	2.4	365	37	50
33	7.2	210	37	16.7
59	1.5	264.4	35	40
100	1.5	207.5	35	40
59	1.8	270.4	35	40
100	1.8	211.2	35	40
59	2.3	235	35	40
100	2.3	139.5	35	40
100	2	273	38	40
100	4	0	38	26
50	1.8	93	25	30
50	1.8	149	25	30
50	1.8	122	25	30
20	1.5	112	37	27.41693458
40	1.6	141	37	27.41693458
50	2	178	37	27.41693458
60	2.5	229	37	27.41693458
80	1.2	214	37	27.41693458
40	2.6	185	37	30
10	2	140	35	20
20	2	180	35	20
30	2	270	35	20
40	2	250	35	20
40	3	230	35	20
40	4	190	35	20
10	2	149	35	20
20	2	200	35	20
30	2	229	35	20
40	2	220	37	20
22	2.537345506	787	36	27.41693458
25	2.537345506	647	36	27.41693458
72	2.537345506	583	36	27.41693458
5	1.5	668	37	40
4	1	447	37	40
6	1.1	568	37	40
50	1.8	104	25	30
50	1.8	154	25	30
50	1.8	107	25	30
100	1.8	141	25	30
20	2.4	301	37	50
20	2.4	322	37	50
20	7.2	180	37	16.7
15	2	240	35	39
20	2	330	35	27
20	2	330	35	26
20	3	300	35	39
15	2	230	35	39
20	2	310	35	26
20	2	330	35	25
20	3	300	35	28
15	2	210	35	39
20	2	300	35	27
20	2	330	35	26
20	3	280	35	39
18	0.7	197	37	16
43	1	220	37	16
81	2	265	37	16
100	2.537345506	628	36	27.41693458
16	2.537345506	200	35	30
16	2.537345506	218	53	30
100	1.8	79	25	30
50	1.8	124	25	30
50	1.8	128	25	30
100	1	112	37	25
90	1	94.2	37	25
70	1	69.9	37	25
30	1	47.5	37	25
46	2	270	35	18
46	1.7	210	35	20
50	1.8	108	25	30
50	1.8	98	25	30
50	1.8	129	25	30
47	1.5	620	55	25
47	2	380	55	25
100	0.5	186.6	35	99.6
100	0.5	172.9	35	104.3
100	1	198	35	49.8
100	1	273	35	49.6
100	1.5	162.4	35	33.2
100	1.5	280.6	35	35.4
100	1.8	124.6	35	27.7
100	1.8	368.2	35	29.4
100	2.2	133.5	35	22.6
100	2.2	365.6	35	24.1
50	1.3	208	38	33
50	1.9	134	38	22
50	1.5	168	38	28
25	1.8	354	37	20
25	2	301	37	20
50	2.3	340	35	30
50	2.3	260	35	30
50	2.3	300	35	30
100	2.537345506	119	33	27.41693458
100	1.8	15	25	30
50	1.8	192	25	30
40	3.7	150.87	37	24
60	3.2	208.74	37	24
80	2.7	274.34	37	24
100	4	49	37	20
75	4	149	37	20
75	4	165.4	37	20
50	4	296	37	20
50	3	520	38	102
25	2.9	536	35	15
46	2.9	641	35	15
40	1.3	76	35	15
5	1.2	210	37	10
5	1.2	215	37	10
10	2.48	293	37	10
12	1.96	349	37	10
14	2.85	245	37	10
16	2.67	251	37	10
18	2.92	288	37	10
0	1.2	260	56	20
10	1.2	300	55	20
24	2.1	277	56	20
