40	2.5	20	7.4	37	167.356
40	3	20	7.6	37	61.9674
40	2	20	7.4	37	166.725
75	4	20	7.22	37	413.4
75	4	20	7.03	37	360
100	2	40	7.24	38	541
75	2	40	7.29	38	487
75	4	26	7.08	38	439
50	2	40	7.34	38	417
50	4	26	7.17	38	396
25	2	40	7.39	38	325
25	4	26	7.3	38	304
75	2	40	7.24	38	508
75	4	26	6.97	38	467
50	2	40	7.25	38	431
50	4	26	6.94	38	400
25	2	40	7.24	38	346
25	4	26	6.58	38	0
100	1	93	7.4	55	597
100	2	47	7.5	55	603
100	3	31	7.5	55	536
100	4	23	6.5	55	345
70	1	97	8	55	795
70	2	48	8	55	666
70	3	32	8	55	601
70	4	24	7	55	655
100	4	20	7.5	37	425
94	4	20	7.6	37	450
88	4.1	20	7.7	37	466
77	4.1	20	7.8	37	479
94	6.1	15	7.3	37	392
88	6.1	15	7.5	37	419
77	6.2	15	7.6	37	452
94	8.1	10	7.2	37	376
88	8.1	10	7.4	37	453
77	8.3	10	7.5	37	506
100	1.2	30	4.4	35	2
29	2	28	7.46	35	210
32	1.3	20	7.3	37	311
33	1.7	20	7.5	37	383
34	1.9	22	7.8	37	395
35	1.7	21	7.5	37	420
41	1.2	30	7.4	35	320
39	1.2	30	5.3	35	40
