FOG	33	1.9	20	7.3	55	243
FOG	20	2	15	7.2	35	337.26
FOG	40	3.1	15	7.2	35	462
FOG	60	3.5	15	7.2	35	490
FOG	60	4.1	15	6.9	35	0
FOG	90	8.3	15	5.9	35	0
FOG	2	2.2	10	8.56	37	202
FOG	4	2.2	10	8	37	211
FOG	6	2.2	10	7.955	37	232
FOG	8	2.2	10	7.92	37	212
FOG	10	2.2	10	7.846666667	37	229
FOG	1	0.8	30	7.5	34	398
FOG	11	0.8	30	7.4	34	200
FOG	1	0.9	30	7.5	34	112
FOG	1	1.1	30	7.3	34	144
FOG	20	1.6	15	7.6	55	567.9
FOG	40	1.6	15	7.5	55	607.2
FOG	60	1.6	15	7.5	55	668
FOG	65	1.6	15	7.3	55	702.1
FOG	70	1.6	15	7	55	600.3
FOG	40	1.6	15	7.4	55	533.7
FOG	40	2	12	7.3	55	632
FOG	40	2.7	9	6.9	55	554.8
FOG	64	2.3	15	7.7	37	598.4
FOG	7	1.8	30	7.3	36	180
FOG	13	2	24	7.3	36	333
FOG	15	1.7	25	7.4	36	324
FOG	22	1.6	26	7.3	36	292
FOG	34	1.4	25	7.2	36	398
FOG	52	1.2	24	7.2	36	546
FOG	74	1	24	7.2	36	454
FOG	87	0.8	25	6.9	36	158
FW	40	2.5	20	7.4	37	167.356
FW	40	3	20	7.6	37	61.9674
FW	40	2	20	7.4	37	166.725
FW	100	4	20		37	448.9
FW	75	4	20	7.22	37	413.4
FW	75	4	20	7.03	37	360
FW	100	4.7	40		37	480
FW	46	5.2	40		37	240
FW	24	5.5	40		37	190
FW	17	5.7	40		37	130
FW	100	2	40	7.24	38	541
FW	100	4		7.03	38	483
FW	75	2	40	7.29	38	487
FW	75	4	26	7.08	38	439
FW	50	2	40	7.34	38	417
FW	50	4	26	7.17	38	396
FW	25	2	40	7.39	38	325
FW	25	4	26	7.3	38	304
FW	75	2	40	7.24	38	508
FW	75	4	26	6.97	38	467
FW	50	2	40	7.25	38	431
FW	50	4	26	6.94	38	400
FW	25	2	40	7.24	38	346
FW	25	4	26	6.58	38	0
FW	100	0.8	20		37	290
FW	30	0.8	20		37	160
FW	100	1.7	20		37	300
FW	30	1.7	20		37	270
FW	80	0.2	40		36	470
FW	100	0.2	40		36	60
FW	100	1	93	7.4	55	597
FW	100	2	47	7.5	55	603
FW	100	3	31	7.5	55	536
FW	100	4	23	6.5	55	345
FW	70	1	97	8	55	795
FW	70	2	48	8	55	666
FW	70	3	32	8	55	601
FW	70	4	24	7	55	655
FW	100	4	20	7.5	37	425
FW	94	4	20	7.6	37	450
FW	88	4.1	20	7.7	37	466
FW	77	4.1	20	7.8	37	479
FW	100	6	15		37	0
FW	94	6.1	15	7.3	37	392
FW	88	6.1	15	7.5	37	419
FW	77	6.2	15	7.6	37	452
FW	94	8.1	10	7.2	37	376
FW	88	8.1	10	7.4	37	453
FW	77	8.3	10	7.5	37	506
FW	100	8		7.2	35	347
FW	100	10		7	35	277
FW	100	12		4	35	96
FW	67	12		7.3	35	388
FW	67	15		7.1	35	317
FW	67	18		4.3	35	139
FW	100	3		7.37	35	420
FW	67	3		7.4	35	440
FW	50	3		7.56	35	490
FW	33	3		7.73	35	490
FW	0	3		7.07	35	6
FW	100	1.2	30	4.4	35	2
FW	29	2	28	7.46	35	210
FW	24	2	24		37	234
FW	32	1.3	20	7.3	37	311
FW	33	1.7	20	7.5	37	383
FW	34	1.9	22	7.8	37	395
FW	35	1.7	21	7.5	37	420
FW	41	1.2	30	7.4	35	320
FW	39	1.2	30	5.3	35	40
