30	3	30	6.4	10	20
30	3	30	7	20	39
30	3	30	7.4	35	181
30	3	20	6.4	10	20
30	3	20	7	20	42
30	3	20	7.3	35	174
50	3	88		38	390
50	2.2	101		38	390
100	0.8			37	145
80				37	215
100	1.6			37	107
0				37	90
80				37	194
100	2.4			37	75
0				37	14
80				37	167
100	3.2			37	78
0				37	0
80				37	112
100	1.7			37	316
25	2	40	7.4	38	257
25	4	26	7.3	38	222
50	2	40	7.35	38	262
50	4	26	7.18	38	233
75	2	40	7.3	38	273
75	4	26	6.59	38	0
32	3.8	20	7.25	55	105.91
37	1.1	30	7.05	37	255
37	1.7	30	6.95	37	265.5
37	2.3	30	6.85	37	268.45
37	2.7	25	6.95	37	239.4
37	3.4	20	6.85	37	209
37	4.2	20	6.85	37	140.4
37	5.6	15	6.9	37	85
25	2	25		35	179.9757
25	3	25		35	162.208
50	2	25		35	144.716
52	3	25		35	131.0125
45		20	7.71	49	214
44		20	7.7	49	217
59		20	7.91	50	351
40	2.5	20	7.1	37	173.9025
40	3	20	7.3	37	117.7936
40	2	20	7.1	37	246.318
40	2.5	20	7.3	37	124.3964
40	3	20	7.4	37	78.1138
40	2	20	7.3	37	177.8042
20	2.4	50		37	251
33	2.4	50		37	365
33	7.2	16.7		37	210
59		40		35	264.4
100	1.5	40		35	207.5
59		40		35	270.4
100	1.8	40		35	211.2
59		40		35	235
100	2.3	40		35	139.5
100	2	40	7.24	38	273
100	4	26	5.81	38	0
50	1.8	30	6.9	25	93
50	1.8	30	7.2	25	149
50	1.8	30	7.1	25	122
20	1.5	NA		37	112
40	1.6	NA		37	141
50	2	NA		37	178
60	2.5	NA		37	229
80	1.2	NA		37	214
40	2.6	30	7.7	37	185
10	2	20		35	140
20	2	20		35	180
30	2	20		35	270
40	2	20		35	250
40	3	20		35	230
40	4	20		35	190
10	2	20	7.5	35	149
20	2	20	7.4	35	200
30	2	20	7.4	35	229
40	2	20	7.3	35	220
22			6.9	36	787
25			6.6	36	647
